,Parent location,Green house gases emissions per capita (tonnes CO2e) (2012),Obesity rate of adult (2016),Pm2.5ug/m3 (2019),Mean BMI 18+years (2016),life expectancy at birth (2019),Daily smoking prevalence (2012),Vegetable consumption-per-capita (2019),Poultry kgpercapita(2019),Beef kgpercapit(2019),Sheep & goat Kgpercapita(2019),Pig Kgpercapita(2019),Other meat Kgpercapita(2019),Fish & seafood Kgpercapita (2019),Fruit Kgpercapita (2019),Median age (2019),Share without improved water (2019),Alcohol consumption per capita (liters of pure alcohol) (15+ years of age) (2018),Lung Estimated number of prevalent cases (1-year) as a proportion (2020)
63,4,17.2,0.219,5.79,26.2,82.33,14.4,72.19682,29.497047,14.076641,19.104013,20.889435,2.5183847,85.69086,82.937546,35.5,0.0,9.11999988555908,35.5
64,5,2.38,0.039,50.17,21.8,70.79,12.6,87.896126,3.1712549,1.0373263,0.5828786,0.25686178,0.0,7.962715,62.812584,26.9,5.05,5.53999996185302,2.7
65,5,3.14,0.069,19.34,23.1,71.31,30.200001,45.48525,14.706662,2.9112165,0.5420886,0.8834036,0.010038678,45.083702,66.686935,29.0,7.5,0.569999992847442,6.3
66,3,4.75,0.304,39.29,28.8,72.42,16.5,87.51339,6.1570883,2.8311248,1.3871701,0.008112106,0.04056053,2.985255,57.97722,19.4,1.29,0.389999985694885,3.1
67,4,13.57,0.253,8.2,27.5,81.84,24.299999,79.53957,26.017897,19.426165,3.590051,30.814604,1.017181,22.756933,69.10848,36.9,2.6,12.8800001144409,39.2
68,4,10.62,0.261,19.47,27.3,82.62,19.4,145.59682,69.47791,27.375486,1.7616907,1.4152908,0.009897139,24.851717,106.05774,29.0,0.0,4.21000003814697,17.3
70,2,5.45,0.247,14.83,27.8,75.98,14.7,102.055916,57.733887,4.4741144,1.0268459,3.22723,0.04191208,26.477957,115.122,29.8,3.62,4.21999979019165,8.6
71,6,11.59,0.043,10.84,22.7,84.26,21.299999,97.67275,19.453873,9.742063,0.15127428,21.924685,0.110934466,46.451286,33.48204,47.6,0.92,7.96000003814697,65.0
72,3,3.4,0.355,25.87,29.0,77.87,25.799999,97.2431,21.91487,6.3072524,4.4188538,0.009441995,0.05665197,4.8909535,35.407482,22.7,0.9,0.689999997615814,5.0
73,4,21.83,0.21,26.5,26.4,73.95,24.4,233.76418,19.872725,25.936426,9.169744,7.4881296,6.2417564,2.7598257,50.30994,29.4,2.63,4.76000022888183,13.3
74,1,1.24,0.071,12.52,23.3,66.09,9.5,56.761757,1.7438171,6.449027,1.8985937,0.31987175,2.1565547,3.0336225,61.13678,18.7,29.65,2.77999997138977,0.78
75,4,2.46,0.166,37.58,26.6,74.18,18.1,184.73497,5.884572,15.563678,8.897879,2.282808,1.5928928,1.1160395,30.894003,23.6,7.4,6.26000022888183,6.1
76,6,25.21,0.053,21.15,22.9,68.51,27.299999,197.9138,5.795557,7.9825597,0.35787317,13.092194,0.019881843,24.365198,125.076675,23.2,11.3,10.7200002670288,7.2
77,4,6.85,0.236,12.02,26.7,75.38,29.1,88.5344,24.056208,6.0687704,0.43774736,40.790096,0.38800335,24.61334,51.524857,43.2,0.59,12.7700004577636,33.6
78,1,1.66,0.166,17.6,24.9,50.75,16.700001,22.028915,1.4418579,1.4609554,0.34375423,3.237019,2.6163516,2.8932648,16.337875,21.7,17.66,4.59000015258789,1.6
79,1,0.68,0.099,35.8,24.1,64.08,6.3000002,24.413057,10.616957,0.5150016,0.44567448,4.7835727,1.7926017,4.357706,38.179447,17.7,16.16,6.11999988555908,0.83
80,3,13.25,0.325,29.84,28.1,75.78,15.4,205.20891,31.096012,2.476126,6.014922,0.051585954,0.70156896,14.918657,75.934525,25.8,0.11,0.0189999993890523,6.3
81,4,9.85,0.263,10.37,26.4,75.99,25.799999,93.62515,29.135572,5.4629197,0.43587127,46.667286,0.668336,31.57645,41.3206,43.3,2.0,13.2200002670288,29.9
82,4,23.75,0.226,8.89,26.3,82.41,25.299999,90.91234,18.700888,26.040216,1.1818405,31.60182,0.96334904,31.999079,85.747986,38.5,0.12,12.9399995803833,31.6
83,1,5.28,0.053,16.02,21.3,65.35,13.6,14.751602,3.11488,1.6260065,0.16651875,1.5966209,0.29385662,3.9866548,41.33583,18.6,44.8,1.97000002861022,0.65
85,6,9.57,0.156,21.52,25.7,74.72,19.1,62.615833,45.21118,5.5710464,1.0810946,7.5871415,0.019479182,53.976814,41.305607,29.0,2.55,0.850000023841857,8.4
87,1,3.48,0.127,41.98,24.9,68.38,13.0,35.36854,6.2664056,6.6277304,12.636046,0.0,6.555465,8.950533,12.904459,17.3,15.09,0.0359999984502792,0.56
88,2,5.49,0.289,17.83,28.0,76.01,9.8999996,66.33483,37.196053,15.186433,0.8975192,18.664318,0.6425421,14.054335,121.399666,28.4,0.52,5.0,2.9
89,4,3.19,0.189,12.37,27.0,73.26,20.9,105.07678,21.6499,2.2625122,0.104023546,22.430077,0.2730618,15.1354265,159.52011,35.6,8.32,11.4300003051757,19.4
91,1,14.81,0.072,16.45,22.8,58.14,11.0,38.70252,4.0005975,0.5614873,0.080212474,3.4892428,0.010026559,13.866732,30.28021,16.6,28.99,2.29999995231628,0.36
92,5,10.36,0.058,27.16,22.6,69.13,17.5,81.69956,29.783962,9.08905,1.7627867,19.991837,0.0,46.18909,38.231075,28.5,15.66,5.11999988555908,7.6
93,1,16.81,0.172,11.81,24.2,64.58,14.6,25.448479,9.013003,2.9873414,4.0476947,4.48611,5.0366783,12.316411,36.81669,21.1,8.8,5.42999982833862,1.7
94,5,1.47,0.041,36.43,22.5,70.88,23.799999,144.75764,2.490518,9.753702,3.0660162,1.0517726,0.0,3.552213,51.913906,22.8,6.55,2.04999995231628,4.3
97,2,2.78,0.237,16.0,27.2,75.04,10.9,34.82987,20.155357,2.3868186,0.009822298,5.2745743,0.34378043,6.590762,42.284992,23.9,16.87,5.17999982833862,2.1
98,1,0.65,0.055,50.15,21.8,63.29,5.0,118.3464,1.1633782,2.4560208,2.1080017,0.06960383,2.217379,1.919077,20.761827,14.4,32.83,0.6700000166893,0.19
99,1,1.8,0.089,55.64,23.2,62.62,4.0,70.24179,1.2356071,1.6112317,2.07582,1.4926134,0.86986744,6.8403215,52.51825,16.9,18.79,10.8400001525878,0.45
100,5,4.42,0.068,41.46,24.1,72.63,24.0,123.859146,1.9432403,0.81715745,0.6078854,4.564123,6.298092,11.011695,62.233517,35.1,5.49,3.79999995231628,26.2
101,4,6.26,0.224,25.17,26.8,74.82,36.900002,261.52454,19.729147,7.8147917,0.6898303,10.643096,0.33506045,6.11978,100.764496,37.6,0.63,6.1599998474121,27.4
102,4,12.66,0.231,6.3,26.7,82.62,16.9,76.17299,20.214907,17.328499,4.5760117,24.790918,1.3174889,50.859097,77.13847,38.8,0.0,7.4099998474121,36.8
103,3,17.95,0.27,34.88,26.3,73.9,9.1000004,176.68965,24.427639,10.743837,12.754254,0.60528666,3.3506937,28.924055,151.81886,28.8,0.45,0.77999997138977,1.5
104,3,2.08,0.086,50.13,23.9,65.61,15.4,25.139013,6.0616837,9.5241165,2.531359,0.0,0.02909608,1.6099831,35.584507,19.8,6.2,0.340000003576278,2.4
105,2,4.31,0.227,11.78,26.9,79.29,8.3999996,26.566975,56.454823,16.483965,0.030098535,16.303373,0.90295607,13.945655,90.58656,28.3,3.97,7.98000001907348,3.9
106,6,1.49,0.213,8.89,25.6,65.3,37.900002,52.863636,3.807506,0.68056875,1.4990906,9.27045,43.390854,13.703343,219.63977,21.3,53.37,1.38999998569488,3.7
107,2,7.97,0.203,12.31,26.7,75.81,11.7,53.972706,11.00383,23.226713,0.38837048,8.576514,0.17260909,4.379956,82.30218,25.0,0.0,7.57999992370605,6.2
108,2,2.48,0.197,29.07,26.7,79.9,11.0,62.267796,43.796436,4.34795,0.8022414,4.734215,1.1686972,27.216782,128.01198,27.7,6.56,6.38000011444091,4.3
109,6,1.73,0.064,22.45,23.2,70.43,22.9,59.484276,16.455389,3.4869757,0.313436,15.691391,0.009794875,28.855701,96.92029,24.0,3.44,6.8600001335144,8.6
110,4,10.89,0.231,18.83,26.7,78.27,27.200001,112.04833,29.970764,1.0728451,0.049213078,53.415874,0.10826877,12.244213,56.132435,40.2,0.03,11.7100000381469,43.9
111,4,6.9,0.208,7.34,25.6,81.57,21.6,128.10165,31.245277,19.289783,2.3851357,40.48768,0.90436393,59.40975,140.8025,44.4,0.09,12.0299997329711,28.2
112,3,48.9,0.351,59.04,29.2,77.17,18.1,149.36948,54.124496,7.8689857,13.538691,0.13114975,0.9079598,21.619534,85.681145,31.2,0.43,1.5900000333786,1.8
113,1,7.71,0.096,29.48,23.2,64.74,8.6999998,26.377434,20.10905,2.1152172,0.30907282,6.0848713,7.6881866,24.233242,45.26951,18.0,15.94,9.27000045776367,0.34
114,4,6.07,0.225,13.3,26.9,75.57,26.4,140.92812,23.456612,4.25492,2.2712743,35.755215,0.1388552,8.202375,112.22476,41.3,0.0,11.7399997711181,33.4
115,4,19.58,0.231,8.88,26.2,73.23,31.9,104.0427,31.36795,13.151719,1.4112575,27.11416,3.3830144,21.73937,61.094437,38.3,2.48,11.1899995803833,23.5
116,1,0.62,0.058,35.66,22.1,69.1,7.5999999,46.76929,1.6429262,2.6955798,1.7117915,1.0133018,1.5740612,4.594291,130.03712,18.7,17.28,8.94999980926513,1.4
118,6,1.88,0.473,7.78,32.2,70.45,22.4,17.727514,65.2086,4.9201756,4.269113,11.607522,0.19531888,44.597813,162.47742,20.4,1.64,2.66000008583068,12.1
119,1,1.07,0.124,33.75,24.8,70.42,3.3,23.308556,18.107721,1.4931103,0.060125247,4.7599154,0.0,28.238825,206.57031,18.0,1.88,5.88000011444091,3.7
120,1,3.95,0.088,38.21,23.0,68.58,7.0,134.08192,7.302449,5.2960577,3.2794821,1.1814283,0.6620072,12.45592,18.026968,17.5,13.75,0.759999990463256,0.72
121,1,1.75,0.087,39.42,22.7,60.77,17.6,47.15995,5.4374247,1.3690659,0.46606496,1.0486462,1.3884852,25.274317,30.876804,18.4,28.55,5.69999980926513,0.64
122,4,8.56,0.205,15.89,26.4,78.23,22.4,68.19847,18.550463,5.7332335,0.060033858,36.360508,0.80045146,10.215762,52.58966,39.8,0.0,11.1400003433227,33.7
123,4,10.24,0.202,14.08,26.6,81.31,22.200001,97.70979,28.657734,14.530544,0.8067059,29.493954,0.5214074,12.995835,102.422134,42.6,0.5,11.8999996185302,41.0
124,6,8.32,0.225,7.83,26.3,65.25,26.799999,12.820851,5.5371785,1.875496,0.049616296,5.636411,0.049616296,28.549217,39.30603,19.0,27.04,1.83000004291534,2.0
125,6,13.33,0.047,24.04,23.8,83.3,24.0,193.05965,20.95336,16.968365,0.365868,40.077377,0.09888324,54.70221,50.954533,42.2,0.16,9.69999980926513,34.8
127,5,1.49,0.052,23.88,23.1,76.87,12.0,48.62674,8.59857,1.1720847,0.10834396,0.059096705,0.0,28.652054,34.522324,32.0,7.19,4.09999990463256,4.9
128,3,13.67,0.086,21.43,24.7,69.15,5.5999999,83.22578,1.7429483,8.021523,7.387724,0.0,3.3769624,1.1586645,63.478966,18.2,12.94,0.509999990463256,0.77
129,2,4.95,0.264,12.17,26.5,71.48,6.0999999,57.013103,49.187965,4.2708983,0.02905373,7.854192,0.1646378,16.12482,87.58732,27.6,1.43,5.32999992370605,9.7
130,4,6.91,0.206,5.96,26.0,82.4,13.6,82.73136,15.942208,23.361053,1.2706848,28.854322,0.21503899,31.64983,58.519928,39.6,0.17,8.93000030517578,26.4
132,3,3.78,0.278,25.14,28.3,72.67,17.1,96.688194,5.6140985,1.7920948,6.0387654,0.0,0.067946725,1.9025084,106.76979,19.7,0.19,0.239999994635581,5.5
133,4,1.92,0.142,53.65,26.1,69.5,15.7,257.3785,2.0764382,23.35993,7.3573794,0.11979451,0.0,0.66885275,38.753525,21.2,15.61,3.27999997138977,2.1
134,1,4.8,0.084,15.36,23.2,67.34,9.3000002,43.31572,0.8041165,7.653639,1.1722662,0.2518919,0.39721417,6.423244,72.08953,16.6,28.25,11.2700004577636,0.71
135,5,6.49,0.1,24.64,24.4,77.7,19.700001,39.66175,10.984606,1.5622551,0.048820473,13.220584,0.0,28.540447,62.81242,38.3,0.0,8.30000019073486,16.5
136,5,0.83,0.038,20.47,21.3,69.62,30.0,25.449512,9.089111,1.7875252,0.38376248,11.270498,0.0,6.6148534,14.370894,19.7,14.34,2.17000007629394,3.3
138,2,45.7,0.186,10.26,27.6,76.13,17.6,30.818636,58.342484,4.359396,1.725403,6.167398,0.15602049,21.723558,53.872955,34.4,0.0,6.71999979019165,8.9
139,3,3.65,0.269,26.52,26.3,77.04,24.5,262.258,16.819996,4.086104,5.4060807,0.00970571,0.2717599,13.782108,100.094986,31.1,1.08,2.11999988555908,11.6
140,4,5.98,0.321,23.25,27.9,78.62,26.5,261.56677,20.647114,12.931929,1.5090581,0.0,0.009993763,5.5765195,123.83272,30.2,1.11,2.04999995231628,25.2
141,4,17.5,0.186,26.41,26.6,69.75,19.5,130.56647,5.0848746,22.05697,20.339499,0.08683847,0.03859487,2.7498846,51.28294,25.3,0.0,4.92999982833862,4.3
142,1,2.22,0.053,31.31,22.5,66.69,7.8000002,30.02563,1.5976562,3.875605,1.0616684,3.020086,0.0,15.275656,200.17088,15.5,17.88,15.0900001525878,0.58
143,4,8.88,0.241,13.51,26.6,73.02,26.5,175.36317,26.54877,7.46311,0.318426,17.294514,0.4477866,13.612713,60.471092,40.2,0.47,8.31999969482421,17.8
144,3,23.02,0.317,41.75,28.4,76.08,15.8,69.26175,35.193027,6.9898148,8.421719,0.0,3.0016956,27.238003,62.621952,31.3,0.03,3.90000009536743,1.3
145,4,9.2,0.278,9.52,27.1,81.4,20.1,82.73067,33.765762,16.756475,4.0854654,24.219528,1.0213664,18.202568,82.46775,39.3,0.0,11.4499998092651,43.7
146,2,20.2,0.362,7.18,28.9,78.5,15.3,116.50948,57.462395,37.077908,0.61025494,30.355263,0.8071114,22.569592,105.879234,37.3,0.2,9.86999988555908,40.3
147,2,10.08,0.279,8.48,27.4,77.1,22.200001,58.08909,20.941555,28.302402,1.3732167,14.802468,1.0803986,9.259116,76.81936,34.7,0.0,6.92000007629394,26.6
148,4,5.95,0.166,40.98,26.9,73.01,11.2,262.14792,2.7403965,29.85432,5.8708496,0.16002315,0.21003039,4.090592,109.1858,26.2,2.17,2.58999991416931,3.7
149,6,1.8,0.252,8.42,26.2,65.31,16.299999,46.999397,15.3775015,7.5951657,0.15761693,12.816227,0.1182127,29.247793,74.16862,19.5,7.72,2.25,2.6
150,2,9.43,0.256,16.21,26.7,73.95,16.6,43.1502,16.7522,12.441115,0.35433558,4.7146316,0.0,10.00998,83.64288,27.5,5.67,4.13999986648559,9.1
151,6,3.43,0.021,20.89,21.9,73.74,20.700001,171.69998,13.898756,5.720647,0.23164593,34.908035,0.2618606,40.205673,78.618614,31.2,3.79,8.65999984741211,13.4
152,3,1.64,0.171,41.61,23.8,66.63,14.3,19.680582,10.464264,2.4126968,4.1690664,0.0,0.09244049,2.800947,28.49016,18.4,11.89,0.0509999990463256,1.3
153,1,21.79,0.081,16.9,22.6,62.45,11.4,21.11589,2.7208695,9.455021,0.5344565,1.5547826,2.1961303,13.069891,7.2783256,16.6,29.33,6.53999996185302,0.61
154,1,4.9,0.155,13.08,23.8,60.68,11.3,13.496497,4.4733973,40.975937,1.7740979,0.6867476,2.375002,2.8709862,13.27712,17.7,23.04,4.67000007629394,1.3
